1;Alivium - 100 Mg/Ml Sus Or Ct Fr Plas Opc X 20 Ml;20.15;9.84;
2;Anthelios G C Airl F30 50 Ml X 1;58.45;31.15;
3;Artrolive - 1500Mg + 1200Mg Gran Ct 30 Env Al Lam X 4G;99.99;63.04;
4;Ablok Plus - 50 Mg + 12,5 Mg Com Ct Bl Al Plas Inc X 30;23.1;9.13;
5;Acnase - Bisnaga Com 20G Gel;22.56;15.24;
6;Aerolin - 100 Mcg Aer Ct Lata Al 200 Doses C/ Aplicador;10.9;27.48;
7;Alginac 1.000 C/ 15 Comprimidos;17.8;7.76;
8;Alivium - 400 Mg Com Rev Ct Bl Al Plas Inc X 10;16.18;5.39;
9;Alivium - 50 Mg/Ml Sus Or Ct Fr Plas Opc X 30 Ml;18.9;9.15;
10;Allegra - 120 Mg Com Rev Ct Bl Al/Al X 10;41.28;16.28;
11;Allegra - 180 Mg Com Rev Ct Bl Al/Al X 10;62.66;25.22;
12;Allegra D - 60 Mg + 120 Mg Com Ct Bl Al Plas Inc X 10;35.7;14.78;
13;Allestra - 0,075Mg+ 0,020Mg Drg Ct Bl Al Plas Inc X 21;17.45;8.26;
14;Anastrozol - 1 Mg Com Rev Ct Bl Al Plas Inc X 30;46.93;452.35;
15;Ancoron - 200 Mg Com Rev Ct Bl Al Plas Inc X 30;29.89;13.71;
